DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-09-26,28.22,27.27,26.39,26.24,26.7,31.02,40.36,40.39,26.31,23.62,24.63,26.97,33.18,50.9,64.11,99.4,157.94,184.01,288.86,221.56,58.42,37.82,29.95,25.6
2023-09-25,26.1,24.01,23.77,23.45,23.83,25.77,30.91,32.02,24.51,23.16,25.73,27.7,30.3,41.96,51.8,71.4,81.87,85.57,134.68,123.52,48.99,38.67,32.12,25.08
2023-09-24,25.52,25.62,24.29,22.52,23.96,24.1,22.4,22.56,18.94,17.78,21.14,25.83,35.12,49.15,68.95,103.22,179.55,210.78,300.73,188.18,50.61,32.93,32.76,27.92
2023-09-23,22.87,21.04,20.59,19.62,21.2,21.4,19.47,19.79,17.59,14.04,15.94,24.07,22.65,37.96,53.3,67.46,101.01,100.71,152.66,98.51,42.59,28.61,27.95,24.08
2023-09-22,24.66,23.47,22.24,21.72,22.85,23.47,27.4,27.26,22.35,19.03,16.78,19.17,22.3,33.81,46.61,56.38,53.75,51.04,79.16,64.97,39.28,30.25,26.73,23.36
2023-09-21,21.03,18.73,17.57,17.6,19.13,21.13,24.43,24.08,22.56,22.99,23.05,26.39,29.89,41.96,46.51,48.5,43.69,43.27,68.18,69.25,46.05,30.44,29.27,23.84
2023-09-20,14.56,10.99,9.11,8.29,10.1,14.45,19.25,19.35,16.17,14.36,17.27,23.18,29.3,46.33,61.96,108.77,223.35,223.04,512.42,311.66,66.87,32.12,25.64,22.92
2023-09-19,11.14,8.13,3.89,4.71,8,12.22,16.5,17.03,11.49,7.33,7.99,10.38,14.13,16.82,18.45,24.24,34.02,41.58,62.7,56.46,32,24.43,21.62,18.86
2023-09-18,23.69,20.74,19.99,19.59,19.33,19.21,22.52,20.99,16.74,15.85,14.82,16.58,17.46,22.15,27.71,34.75,42.72,40.94,67.02,70.1,36.5,29.26,22.98,19.38
2023-09-17,35.4,32.6,31.36,30.19,28.73,28.45,29.79,28.26,20.65,19.85,21.89,22.81,26.4,30.39,31.86,37.4,40.01,50.54,107.99,153.79,56.69,49.42,38.4,30.74
2023-09-16,27.47,26.93,26.53,26.87,26.36,26.74,32.77,33.45,27.37,24.06,23.91,24.34,28.07,29.88,28.67,29.88,29.11,29.02,42.56,79.25,52.49,42.82,41.03,34.7
2023-09-15,26.7,26.79,27.38,27.95,28.99,30.29,36.18,33.95,24.87,23.87,23.98,26.56,28.69,30.95,36.11,40.26,41.39,41.25,45.93,57.96,42.03,34.95,31.59,28.65
2023-09-14,28.29,26.61,26.62,26.96,27.49,29.2,33.77,31.87,24.77,23.31,23.9,26.04,29.48,31.62,31.5,34.7,38,34.62,39.07,57.19,45.63,39.29,34.21,29.87
2023-09-13,32.27,30.64,31.02,29.81,29.48,30.92,37.47,34.1,26.7,26.48,26.82,28.84,31.31,31.79,35.24,40.14,45.58,42.79,48.53,67.07,47.87,38.11,31,27.25
2023-09-12,23.11,21.82,21.39,21.12,22.11,25.28,27.73,27.23,24.36,22.88,24.37,27.72,32.71,37.61,42.45,51.16,72.24,69.72,67.88,74.73,57.52,41.02,36.78,29.94
2023-09-11,20.84,19.89,19.12,18.28,18.33,19.8,23.32,22.55,21.48,20.27,20.31,23.3,26.99,30.64,40.59,58.93,66.26,49.16,52.21,69.69,45.81,36.14,30.24,25.86
2023-09-10,22.8,21,20.18,19.84,20.41,21.46,20.92,20.23,17.68,16.65,18.07,23.38,25.39,28.9,34.33,41.52,49.16,40.53,59.63,79.17,39.71,29.9,26.45,22.28
2023-09-09,23.7,21.11,19.82,19.17,19.56,19.93,20.65,20.88,18.92,18.54,22.94,28.6,36.97,51.81,71.43,152.55,201.34,147.73,174.98,193.28,50.89,33.22,29.82,25.24
2023-09-08,20.71,18.49,17.3,16.16,17.54,18.18,19.74,19.52,18.15,18.76,21.81,28.73,47.12,249.83,466.36,1003.03,1487.78,1569.03,2009.79,2450.16,376.37,41.55,30.5,25.67
2023-09-07,25.22,23.33,20.71,19.56,20.04,21.5,22.94,21.99,18.86,20.54,22.76,28.82,50.12,107.05,255.15,607.05,945.56,1056.14,2246.19,2770.19,412.98,46.26,29.25,23.7
