DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-09-26,28.22,27.27,26.39,26.24,26.7,31.02,40.36,40.39,26.31,23.62,24.63,26.97,33.18,50.9,64.11,99.4,157.94,184.01,288.86,221.56,58.42,37.82,29.95,25.6
2023-09-25,26.1,24.01,23.77,23.45,23.83,25.77,30.91,32.02,24.51,23.16,25.73,27.7,30.3,41.96,51.8,71.4,81.87,85.57,134.68,123.52,48.99,38.67,32.12,25.08
2023-09-24,25.52,25.62,24.29,22.52,23.96,24.1,22.4,22.56,18.94,17.78,21.14,25.83,35.12,49.15,68.95,103.22,179.55,210.78,300.73,188.18,50.61,32.93,32.76,27.92
2023-09-23,22.87,21.04,20.59,19.62,21.2,21.4,19.47,19.79,17.59,14.04,15.94,24.07,22.65,37.96,53.3,67.46,101.01,100.71,152.66,98.51,42.59,28.61,27.95,24.08
2023-09-22,24.66,23.47,22.24,21.72,22.85,23.47,27.4,27.26,22.35,19.03,16.78,19.17,22.3,33.81,46.61,56.38,53.75,51.04,79.16,64.97,39.28,30.25,26.73,23.36
2023-09-21,21.03,18.73,17.57,17.6,19.13,21.13,24.43,24.08,22.56,22.99,23.05,26.39,29.89,41.96,46.51,48.5,43.69,43.27,68.18,69.25,46.05,30.44,29.27,23.84
2023-09-20,14.56,10.99,9.11,8.29,10.1,14.45,19.25,19.35,16.17,14.36,17.27,23.18,29.3,46.33,61.96,108.77,223.35,223.04,512.42,311.66,66.87,32.12,25.64,22.92
2023-09-19,11.14,8.13,3.89,4.71,8,12.22,16.5,17.03,11.49,7.33,7.99,10.38,14.13,16.82,18.45,24.24,34.02,41.58,62.7,56.46,32,24.43,21.62,18.86
2023-09-18,23.69,20.74,19.99,19.59,19.33,19.21,22.52,20.99,16.74,15.85,14.82,16.58,17.46,22.15,27.71,34.75,42.72,40.94,67.02,70.1,36.5,29.26,22.98,19.38
2023-09-17,35.4,32.6,31.36,30.19,28.73,28.45,29.79,28.26,20.65,19.85,21.89,22.81,26.4,30.39,31.86,37.4,40.01,50.54,107.99,153.79,56.69,49.42,38.4,30.74
