DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
25/02/2023,24,5,31,1,12,5,9,9,26,1,67,8,90,6,50,6,25,5,41,7,30,8,14,9,13,3,33,6,48,4,100,6,89,4,89,0,66,1,77,2,72,4,58,9,116,5,215,4
09/03/2023,115,8,77,6,91,7,79,2,28,8,12,5,16,7,4,7,3,8,4,8,4,5,6,3,22,9,61,8,153,4,214,7,212,4,231,0,216,6,170,4,170,5,155,4,176,0,149,8
27/03/2023,204,4,153,7,112,6,47,5,30,2,33,4,11,0,0,0,4,6,22,7,20,9,54,8,126,6,64,5,49,0,61,7,100,5,120,7,239,2,264,3,265,5,265,5,265,4,259,6
29/03/2023,148,2,154,8,142,0,97,5,104,4,88,1,126,3,113,7,92,7,106,5,172,5,159,6,133,4,112,9,155,2,163,5,173,9,181,7,193,7,161,3,215,9,202,8,248,4,235,2
24/04/2023,59,9,32,0,20,3,19,1,16,4,23,3,15,9,92,3,69,9,101,4,119,5,110,1,132,0,182,0,161,0,110,6,99,5,62,8,8,1,9,7,89,5,145,4,89,0,50,7
01/05/2023,28,5,38,5,61,1,39,4,23,6,9,3,3,7,8,6,19,1,35,2,19,6,21,1,56,7,67,0,72,7,76,8,111,7,102,6,124,9,125,6,187,6,221,9,214,7,218,7
04/05/2023,143,1,135,0,92,3,99,0,56,8,30,7,58,7,68,7,64,2,120,8,30,7,5,2,14,0,30,6,51,7,79,1,59,4,45,0,39,4,121,4,207,6,234,6,217,8,80,4
11/05/2023,235,8,154,1,97,5,18,5,19,7,110,4,112,8,153,6,108,8,48,0,26,8,61,2,140,7,239,0,241,0,229,3,235,0,231,0,243,9,161,7,180,9,150,9,158,4,71,8
14/06/2023,18,8,14,1,3,0,35,4,83,0,61,1,18,3,19,1,11,0,21,3,8,9,6,8,2,9,2,6,9,9,3,0,5,8,6,0,1,2,4,0,31,8,126,3,203,0,228,5
16/06/2023,107,3,121,1,92,3,225,8,165,7,227,3,170,8,212,0,81,8,42,9,32,1,7,4,6,3,8,6,11,8,8,0,12,2,17,4,34,1,139,6,130,8,157,9,204,4,195,7
20/06/2023,37,0,11,5,0,4,0,0,6,9,35,8,138,3,114,3,50,1,34,0,49,3,60,4,49,0,56,9,33,6,52,5,46,5,33,6,12,0,9,7,30,8,8,2,42,1,98,2
