DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
27/09/2022,43.6,41.5,37.8,35.2,35.2,36.2,41,41.5,38,34.2,36,43,49.8,54.6,60.5,70.2,72.7,72,98.4,99.7,61.7,54.2,50.5,52.5
28/09/2022,49.4,44.4,38.7,32,32.2,36.7,44.7,45.9,38.3,34.1,34.8,37,40.8,50.9,56.2,63.5,67.6,70.5,97.6,79.4,45.2,38,35.5,48.4
29/09/2022,34,32.9,29,30.5,31.6,35.9,41.2,42.3,37.3,35.7,37.4,42,43.4,48.1,55.5,59.3,66.3,67.7,100.1,99.3,58.8,40.6,46.3,48.5
30/09/2022,40,38,33.8,31.4,33,37.4,45.9,46.5,40.4,37.7,36.2,42.6,45.8,47.2,54.6,57.9,63.1,63.4,99.6,100.1,58.2,54.3,51.2,50.4
01/10/2022,47.9,41.6,37,36.5,38.3,42.1,51.4,48.8,39.7,37.6,37.8,38.8,41.1,41.4,46,48,54.1,56,66.4,65.4,50.9,47.6,44.8,46
02/10/2022,35.5,29.8,25.8,26,28.5,32.4,35.3,38.1,35.7,33.1,35.9,35.1,36.8,35.7,39.2,44.5,48.4,54.7,59.2,53.2,46.1,44.4,42.9,39
03/10/2022,34.6,32.6,30.9,30.3,31.4,34.2,36.3,38,32.9,32.4,36.2,33.8,37.2,41.3,40,45.8,52.9,56.2,66.8,63.7,47.7,45.4,41.9,41
04/10/2022,31.8,32.8,33.3,30.6,33.5,41.5,49.7,54.5,42.4,36.7,35.8,35.7,41.1,41.7,52,60,69.9,73.3,114.3,90.2,52.4,45.4,41.8,49.6
05/10/2022,37.9,35.5,34.3,34.3,35.9,43.7,53.9,55.6,38.2,33.1,31.9,32,34.4,39.6,48.6,60.1,70.5,72.7,114.8,82.8,48.1,42.6,37.3,48.6
06/10/2022,32.6,32.8,32.2,31.3,34.6,39.9,44.7,48.9,39.6,36,37.8,41.9,46.7,53.1,56.2,65,76.1,84.3,119.9,94.2,60.3,51.5,46,52.4
07/10/2022,41.1,40.5,39.6,38.9,40.2,46.6,52,57.2,45.3,42.7,44.5,47,52.4,57.8,63.7,80.3,97.3,101,148.5,107,64.5,56.2,54.5,61.7
08/10/2022,55.7,51.1,46.7,45.8,48,54.9,59.3,59.5,49.2,45.2,48.9,50.1,53.2,62.3,72.8,90.1,111.2,104.6,74,66.6,56.7,55.2,56.4,61.6
09/10/2022,55.5,50.5,47,43.7,43,42.7,43.3,44.8,42.6,40.9,41,45.3,49.4,52.7,55.1,65.4,82.5,87.2,79.7,66.6,53.8,52.1,51.3,53.7
10/10/2022,50.9,48.5,43.4,40.9,41.4,41.5,42.5,43.2,43.7,42.6,44.1,44.4,50,50.6,51.2,59.9,91,104.1,98.4,84,56.8,52.6,52.3,55.6
12/10/2022,44,37.9,31.2,29.2,29.4,33.6,41,43.2,34.4,20.3,9.5,8.7,7.8,8.1,14.5,14.6,24.4,38.6,71.6,72.7,56.9,39.4,34.6,32.4
13/10/2022,11.6,9.9,8.7,9.5,10.9,19.1,34,42.4,34.6,24.5,27.7,31.2,38.9,42.3,53.3,81.7,137.7,232.6,325.3,237.2,94.3,60.6,56.6,70.6
14/10/2022,47.7,41.1,38.6,37.4,37.5,39.4,49.9,49.9,41.9,40.4,40.3,45,49.1,51.1,57.2,62.8,92.5,103.3,140.4,94.7,65.4,56.6,53,58
15/10/2022,44.7,38.5,37.1,36,36.1,38.1,45,44.8,38.1,35.1,34.1,32.5,32.5,39.5,45.5,51,63.8,78.8,117.4,71.3,54.6,47.7,39.4,47.9
16/10/2022,36.6,28.2,24.7,28,28.4,31.7,39.9,43.2,38.6,32.4,33.1,35.8,39.9,47,45.6,53.9,95,102.6,126.9,73.8,53,43.8,40.5,48.8
17/10/2022,44.6,42.5,40.5,44.3,45.9,48.5,50.4,52.5,49.3,50.3,52.1,57,63.3,66.9,63.1,61,62.2,61.4,65.6,63.9,54.6,53.3,49.4,54
18/10/2022,49,43.5,41.2,41.4,43.7,48.1,50.1,50.6,48.4,49.1,48.1,49.2,44.9,41.8,45.9,49.6,55.2,62.6,79.7,91.9,61.2,56,54.3,52.4
20/10/2022,44.7,42.2,40.4,41,39.7,50.5,75,76.3,53.5,42.1,41.9,37.4,36.4,37.2,38.2,41.8,43.3,47.7,108,107.7,55.6,45.4,38.3,51.5
28/10/2022,-0.1,-1.5,-1.3,-1.1,-0.6,0.2,3.7,6.3,5,1.5,0.6,0.6,1.4,2.7,5.2,8,9.1,28.2,54.1,41.6,26.5,17.9,27.6,10.2
29/10/2022,44.8,37.7,37.1,34.9,34.9,38.7,58.9,57.5,32.7,11.8,4,0.1,0,1.4,1.3,1.2,5.4,25.2,44.8,60.1,49.3,46.1,44.7,29.2
30/10/2022,57.9,48.5,43.9,42.3,39.8,41.4,40.2,49.8,47.8,40.9,40.7,38.4,38,36.9,38.2,37.1,38.1,43.1,122,131.5,77.2,60.9,58.6,52.7
31/10/2022,50.9,47.5,42.6,41.3,39.7,40.8,42.5,45.5,40.1,31.7,32.9,38.6,38.9,38.9,39.2,39.2,46.4,65.7,175.7,150.8,69.1,56.9,49.5,55
06/11/2022,39.9,30.4,25.6,24,23.2,23,28.8,32.6,28.5,20.9,20.5,19.8,18.1,14.4,9.3,3.6,1.3,16.6,38.2,22,2.6,-3.4,-5.4,18.9
07/11/2022,-1.4,1.9,-2.8,-2.8,-0.8,0,7.1,12.2,12.6,12.3,16.4,17.2,18,19.7,27.1,30.5,49.9,113.3,60.1,37.5,27.4,20.5,16.9,21.4
15/11/2022,16.9,18,21.1,29,36.2,40.7,66.8,72.2,45.9,37.6,34.3,30.7,24.3,10.6,5.5,3.6,14.1,55,55.2,48.9,47.6,44.1,40.4,34.7
16/11/2022,40.8,38.7,39.6,41.7,45.8,51.9,111.8,97.1,53.4,45.8,45.3,41.9,39.1,38.1,38.3,39.9,51,216.3,137.3,84.9,67.6,60.6,58.8,64.6
17/11/2022,55.2,52.7,52.1,53.2,51.5,60.4,151.2,121.7,80.2,65.5,58.9,52.3,45.6,42.3,39.7,39.3,51.6,112.8,109.5,95.8,79.7,66,59.4,69.4
18/11/2022,52.7,50.6,48.9,49.2,51.7,57.5,106.5,76,52.1,48.9,40.8,37.8,33.9,33,33.2,34,42.7,103.7,72.1,51.9,48.6,46,43,52.8
19/11/2022,38.6,37.2,37.7,39.9,43.6,53.7,76.1,68.6,54.4,53.6,48.9,43.5,38.7,36.8,36.9,38.8,44.6,79,67.5,60.6,59.3,59.5,57.2,51.1
20/11/2022,53.1,51.9,51,51,54,57.9,64.3,70.5,73.6,75.2,64.7,60.2,54.6,51.4,49.6,54.2,68.2,143.5,140.1,115.5,114.9,84.3,65.5,72.6
21/11/2022,68,64,64.8,62.2,63.6,64,79.7,88.7,82,77.4,59,49.9,46.7,45,45.9,47,55.3,84.2,75.1,67.4,60.9,56.7,56.4,63.6
22/11/2022,48.2,48.4,47.8,50,53.7,61.2,91.3,93.7,72.3,58.9,57.9,56.9,50.5,48.5,44.2,43.8,59.8,127,92.5,67.7,59.3,55.5,53.3,62.7
23/11/2022,39.1,38.5,39,40.4,46.9,55.9,75.3,75.1,55.8,50.7,48.1,45.2,40,38.4,37.2,37.8,46.8,72,51.7,47.6,45.5,39.6,36.4,47.9
24/11/2022,31.3,31.1,32.6,35.1,37.2,45.1,58,56.7,48.9,46.8,40.1,40.4,32.1,28.9,28,26.7,31.8,53.3,32.7,25.1,17.9,15.1,24.6,35.6
26/11/2022,36.6,22.9,20.5,23,20.9,23.6,31,37,40.8,41.3,48.7,51.5,50.5,52,53.8,51.1,54,81.3,61.5,60.1,60.1,57.2,57.5,45.1
27/11/2022,47.8,47.2,47.9,49.9,52.9,54.7,55.2,62.3,62.6,54.3,46.8,38.9,35.8,33.2,32.3,34.7,50.2,84.5,59.1,47.6,44.9,42.5,34.1,48.7
30/11/2022,-2.1,-2.4,-2,-0.7,1.3,6.6,29.8,37.3,12.9,4,2.8,3.3,2.7,-0.4,1.5,6.4,32.7,96.3,60.4,38.5,37.4,32.1,35.8,18.9
01/12/2022,39.3,37,40.1,42.6,50.6,50.7,72.8,83.5,55.1,49.2,49.6,45.9,41.2,39.1,37,36.6,46,77.9,68.3,56.8,55,51.3,47.6,51
03/12/2022,0.3,0.1,0.4,0.5,0.5,1.9,5.4,8.9,4.5,2.9,3.2,3.4,4,3,2.7,5.2,20,44.4,41.8,43.6,45.4,44.9,49.8,14.6
