DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
25/02/2023,14,4,15,7,17,2,17,9,18,6,23,3,24,9,29,3,23,4,21,1,21,5,21,2,20,7,19,9,20,7,19,7,22,0,30,1,36,9,32,3,29,4,27,3,26,1,23,2
09/03/2023,35,3,32,7,34,4,34,8,37,4,42,3,45,3,38,9,28,3,25,9,26,3,26,8,25,7,26,8,32,9,29,6,36,8,60,3,78,9,59,8,50,7,44,6,44,8,39,1
27/03/2023,39,2,34,1,32,9,33,6,32,0,36,9,44,4,45,0,33,2,20,3,19,3,21,4,21,9,21,2,19,7,15,9,14,6,21,6,59,8,169,8,164,8,67,2,50,0,46,9
29/03/2023,42,6,28,3,20,1,9,3,1,7,6,5,13,6,13,4,11,0,7,1,6,5,9,9,9,7,13,5,17,3,17,8,22,7,25,3,40,8,97,5,129,8,62,6,59,4,49,4
24/04/2023,18,6,18,7,18,3,19,5,20,1,21,6,18,9,20,8,21,5,23,2,24,6,26,5,29,2,30,4,31,2,31,6,34,2,44,5,47,0,67,0,88,2,51,1,41,9,37,3
01/05/2023,35,0,35,5,28,6,26,3,21,9,21,1,22,6,18,1,12,2,12,7,12,8,12,5,12,0,12,4,13,1,14,6,15,8,19,1,21,4,34,6,30,6,16,1,14,5,15,7
04/05/2023,26,8,26,6,26,8,31,8,33,0,40,5,49,2,42,1,27,5,19,0,19,0,19,5,19,5,23,9,28,2,34,8,49,7,54,5,51,1,83,2,61,2,30,9,19,9,17,1
11/05/2023,18,2,15,8,15,6,17,5,20,0,23,8,31,9,32,5,20,6,18,4,18,0,17,4,15,7,17,7,16,8,18,4,20,1,21,8,22,7,29,8,39,9,21,1,17,6,19,9
14/06/2023,21,5,20,6,19,9,19,3,19,5,20,0,20,6,18,6,17,4,17,4,19,6,26,8,28,5,33,2,37,8,49,5,52,7,46,5,37,4,44,0,46,1,27,8,24,0,20,1
16/06/2023,21,1,19,5,18,6,17,4,16,9,18,6,18,0,17,0,15,5,18,2,20,5,21,9,25,1,31,0,34,1,43,3,38,4,35,4,30,3,39,9,48,4,30,8,25,6,20,6
20/06/2023,21,2,18,9,17,5,15,5,15,2,15,7,13,7,13,3,13,5,17,4,21,2,24,5,36,6,90,5,256,2,404,1,533,7,471,9,327,6,342,4,267,2,71,8,39,5,28,8
10/07/2023,30,7,25,7,22,0,20,7,19,6,19,3,21,2,17,6,17,6,19,3,24,3,30,0,30,9,32,0,38,5,49,7,62,8,64,5,59,0,72,9,69,5,36,5,32,3,27,3
12/07/2023,26,0,23,9,24,4,22,4,22,1,22,9,20,1,18,6,18,4,17,5,22,0,25,0,27,3,31,5,39,1,50,1,46,4,38,7,40,7,58,4,52,5,37,1,31,0,24,0
31/07/2023,23,6,19,7,18,9,18,0,17,8,17,3,15,6,15,2,15,0,16,5,21,3,27,5,30,5,46,7,57,4,86,5,145,0,131,5,151,2,303,5,190,8,54,4,39,4,30,7
03/08/2023,24,7,24,0,22,3,20,9,21,3,22,0,21,1,19,6,18,7,17,9,22,3,26,9,35,9,62,4,86,9,113,1,134,1,111,8,120,4,198,9,142,9,47,0,32,4,28,0
04/08/2023,25,5,22,8,21,8,21,1,21,2,22,6,22,3,22,2,21,1,18,2,21,9,27,2,41,3,71,3,145,9,244,6,293,2,196,0,197,1,341,2,194,9,50,5,35,7,28,9
06/08/2023,25,9,22,2,19,2,17,1,16,7,16,8,15,0,14,7,14,8,15,2,19,4,23,1,32,6,52,1,91,6,114,0,145,0,146,5,167,5,295,0,183,0,44,3,32,6,28,1
07/08/2023,23,7,20,3,18,9,17,4,16,8,16,4,15,9,15,8,16,0,17,5,21,1,27,5,37,3,92,6,223,6,562,7,1205,1,1527,8,2016,5,2595,6,1488,9,118,8,38,6,28,5
08/08/2023,23,8,21,0,19,6,18,4,18,8,20,2,22,5,22,2,20,3,21,9,24,7,37,1,59,3,171,1,530,5,935,9,593,7,441,5,321,3,521,3,192,5,52,3,30,4,25,2
09/08/2023,27,6,25,9,24,8,24,6,22,1,22,2,22,2,20,3,19,8,19,7,20,5,24,6,30,5,53,3,112,6,182,7,211,8,202,2,193,4,306,2,114,2,38,9,29,4,25,7
10/08/2023,23,1,21,1,21,2,20,4,20,4,21,1,19,9,19,5,13,5,8,1,12,5,21,3,28,9,62,6,127,6,209,8,318,4,361,4,471,2,783,0,291,0,59,0,40,6,32,4
11/08/2023,27,9,25,6,24,8,23,1,22,9,23,3,23,1,23,0,21,1,22,0,30,1,41,3,69,7,191,8,513,1,1040,2,1553,6,1676,1,1607,8,2602,0,797,6,104,1,38,3,30,2
12/08/2023,28,7,25,7,21,8,20,5,20,0,21,7,21,5,20,8,18,3,15,0,18,7,26,6,38,7,63,7,184,3,330,1,481,3,398,6,406,0,746,5,266,3,57,4,35,3,29,8
13/08/2023,28,3,25,1,20,8,20,1,20,5,19,4,18,5,17,7,17,3,15,7,18,4,26,6,33,7,64,7,138,8,253,8,351,1,313,8,302,2,598,1,216,4,55,2,38,5,28,9
15/08/2023,26,7,24,5,22,0,21,7,22,6,24,5,26,1,24,7,18,8,14,4,20,2,20,7,23,6,50,7,136,3,283,9,342,8,301,2,376,8,1027,3,324,4,73,9,35,8,31,4
17/08/2023,27,6,24,9,22,0,20,9,20,6,21,2,21,1,20,9,19,3,19,2,20,6,25,6,31,2,53,1,103,8,333,4,496,3,914,0,1122,2,2005,6,594,4,45,7,30,2,26,1
20/08/2023,24,6,21,9,19,6,18,4,18,5,18,9,17,5,16,9,15,7,17,3,21,0,30,2,40,9,75,7,121,8,202,2,263,1,204,0,246,3,459,4,191,9,47,4,37,4,29,2
21/08/2023,24,6,22,6,21,2,20,0,19,6,20,1,18,0,18,1,16,9,19,0,22,8,32,2,45,5,70,8,96,3,194,7,233,2,262,0,301,2,1001,6,685,1,135,2,60,8,43,6
22/08/2023,46,2,35,5,34,0,31,2,32,7,36,2,32,2,30,1,26,1,26,3,35,6,50,9,36,3,45,2,62,0,55,9,63,0,56,3,77,9,166,8,122,2,42,8,46,1,33,0
23/08/2023,33,3,31,8,30,0,29,7,29,8,32,0,36,3,34,4,27,6,30,5,41,1,41,2,52,2,77,5,96,8,110,8,112,6,102,0,89,8,146,3,113,7,55,2,41,0,33,6
24/08/2023,31,6,29,4,27,7,26,9,27,6,29,8,36,3,33,6,29,8,30,0,41,2,40,2,53,6,81,2,124,1,199,7,249,4,314,8,708,3,1186,5,774,4,129,8,52,8,45,0
25/08/2023,36,0,31,9,28,6,28,2,29,0,31,7,30,3,30,2,25,4,27,0,30,6,46,3,80,1,213,5,626,8,1107,9,2367,6,2945,6,3249,0,3906,9,3542,5,448,3,50,0,37,6
26/08/2023,32,4,29,8,27,1,26,4,28,0,30,4,31,0,30,1,26,1,27,7,33,8,56,8,102,6,630,1,1478,2,2967,8,3699,8,4024,6,4041,1,4207,4,3648,7,564,4,75,7,43,3
27/08/2023,34,7,32,4,29,1,27,4,29,1,29,8,27,4,26,3,23,7,25,7,29,3,42,5,91,0,229,9,806,3,2096,5,2995,2,3081,8,3183,2,3171,6,1005,9,109,1,55,3,36,7
28/08/2023,39,5,33,9,29,3,28,1,27,8,27,7,24,5,22,1,18,0,19,3,25,0,31,0,60,1,176,5,471,0,1060,9,1989,1,2421,2,2493,3,2630,7,924,9,107,4,53,7,36,9
29/08/2023,40,0,32,5,29,7,28,6,29,7,32,2,32,8,31,4,25,7,26,6,29,1,40,8,55,0,121,4,252,8,357,6,574,7,695,1,917,0,484,9,305,2,63,3,45,0,36,6
30/08/2023,38,5,34,6,31,9,29,6,29,7,32,3,34,5,32,4,26,3,26,8,28,2,28,5,30,7,44,0,66,9,99,1,93,2,128,8,219,4,451,3,193,8,75,3,47,7,39,1
31/08/2023,45,3,41,9,37,4,35,3,35,5,37,3,38,4,35,5,26,9,27,0,30,9,30,2,44,6,107,4,217,4,389,2,443,1,597,3,1758,4,2575,6,836,9,134,1,63,8,51,8
05/09/2023,10,3,11,3,9,4,7,6,10,3,13,3,15,2,16,4,14,9,10,0,8,9,14,1,20,2,30,4,38,7,67,0,79,4,94,2,120,5,145,4,43,2,32,5,23,9,23,2
06/09/2023,24,6,23,5,22,1,21,7,23,0,24,7,25,4,23,9,22,2,21,5,25,6,35,0,62,2,108,9,203,1,314,6,470,3,426,9,693,6,1317,1,279,7,44,2,34,5,29,0
07/09/2023,25,2,23,3,20,7,19,6,20,0,21,5,22,9,22,0,18,9,20,5,22,8,28,8,50,1,107,1,255,2,607,1,945,6,1056,1,2246,2,2770,2,413,0,46,3,29,3,23,7
08/09/2023,20,7,18,5,17,3,16,2,17,5,18,2,19,7,19,5,18,2,18,8,21,8,28,7,47,1,249,8,466,4,1003,0,1487,8,1569,0,2009,8,2450,2,376,4,41,6,30,5,25,7
17/09/2023,35,4,32,6,31,4,30,2,28,7,28,5,29,8,28,3,20,7,19,9,21,9,22,8,26,4,30,4,31,9,37,4,40,0,50,5,108,0,153,8,56,7,49,4,38,4,30,7
23/09/2023,22,9,21,0,20,6,19,6,21,2,21,4,19,5,19,8,17,6,14,0,15,9,24,1,22,7,38,0,53,3,67,5,101,0,100,7,152,7,98,5,42,6,28,6,28,0,24,1
24/09/2023,25,5,25,6,24,3,22,5,24,0,24,1,22,4,22,6,18,9,17,8,21,1,25,8,35,1,49,2,69,0,103,2,179,6,210,8,300,7,188,2,50,6,32,9,32,8,27,9
25/09/2023,26,1,24,0,23,8,23,5,23,8,25,8,30,9,32,0,24,5,23,2,25,7,27,7,30,3,42,0,51,8,71,4,81,9,85,6,134,7,123,5,49,0,38,7,32,1,25,1
26/09/2023,28,2,27,3,26,4,26,2,26,7,31,0,40,4,40,4,26,3,23,6,24,6,27,0,33,2,50,9,64,1,99,4,157,9,184,0,288,9,221,6,58,4,37,8,30,0,25,6
